name;datetime;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;windspeed;winddir;sealevelpressure;cloudcover;visibility;conditions;description
MOROCCO;02/02/1994;16.4;9.9;12.2;16.4;9.9;12.2;10.8;91.5;0;0;0;;11.2;174.9;1026.7;74.4;3.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/03/1994;16;8.4;12.4;16;7.2;12.3;10.6;89.9;0;0;0;;37.1;227.5;1020.2;81.7;3.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/04/1994;13.1;7.9;10.5;13.1;3.8;9;6;74.6;16;100;12.5;rain;29.5;304.2;1014.2;93;6.5;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.
MOROCCO;02/05/1994;12.1;9.1;10.2;12.1;6.4;8.6;6.4;78.5;2.5;100;8.33;rain;25.9;307.9;1019;95;7.7;Rain, Overcast;Cloudy skies throughout the day with a chance of rain throughout the day.
MOROCCO;02/06/1994;16;10.1;12.9;16;10.1;12.9;11.8;92.6;4.5;100;8.33;rain;14.8;244.6;1021.5;84.4;6.9;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;02/07/1994;16.4;0.1;10.7;16.4;-4.9;10.1;10.8;93.5;0;0;0;;18.4;247.3;1024.3;69;11.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/08/1994;14.9;0.1;10.4;14.9;0.1;10.2;6.4;74.1;5;100;4.17;rain;18.4;112.5;1030.1;44.4;8.3;Rain, Partially cloudy;Becoming cloudy in the afternoon with early morning rain.
MOROCCO;02/09/1994;17.9;5.2;10.6;17.9;2.6;9.6;4.6;69.7;0;0;0;;18.4;145.1;1028.1;46.3;8.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/10/1994;16;4.6;11.4;16;3.4;11.3;6.6;73.8;0;0;0;;11.2;95;1027;41.1;8.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;02/11/1994;17.1;5.9;11.9;17.1;4.3;11.2;9;83.3;0;0;0;;14.8;305.7;1025;3.8;6.6;Clear;Clear conditions throughout the day.
MOROCCO;02/12/1994;14.1;8.1;10.4;14.1;7.2;10.2;9.4;94.3;0;0;0;;7.6;257.2;1020.3;20;2.4;Clear;Partly cloudy throughout the day.
MOROCCO;2/13/1994;15.7;6.1;9.5;15.7;4.5;9.1;7.6;88.6;0;0;0;;14.8;262.9;1016.2;42.9;4.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/14/1994;15.1;11.1;13.2;15.1;11.1;13.2;10.8;85.6;7;100;8.33;rain;22.3;280.6;1016;77.7;7;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.
MOROCCO;2/15/1994;17.1;8.1;10.8;17.1;6.7;10.2;9.1;89.3;0;0;0;;37.1;205.2;1015;73.3;7.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/16/1994;12.1;9.1;10.4;12.1;6;9.5;7.9;85;13;100;8.33;rain;37.1;216.4;1011.8;90;6.5;Rain, Partially cloudy;Partly cloudy throughout the day with rain.
MOROCCO;2/17/1994;15.1;9.1;12.4;15.1;7.3;12;9.6;83.9;26;100;8.33;rain;18.4;228.9;1023.2;74;8.9;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;2/18/1994;16.7;7.1;10.3;16.7;5.7;10;8.1;86.9;0;0;0;;14.8;147.7;1028.2;34;8.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/19/1994;19.1;6.1;11.5;19.1;6.1;11.4;9;85.7;0;0;0;;14.8;15.8;1027.3;36.7;7.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/20/1994;19.6;9.1;13.6;19.6;9.1;13.6;10.5;83.3;0;0;0;;11.2;34.3;1026.4;43.3;7.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/21/1994;20.1;10.1;13.9;20.1;10.1;13.9;9.5;77.1;0;0;0;;22.3;195;1022.7;50;7.8;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/22/1994;23.1;9.1;16.6;23.1;8;16.5;8.8;64.6;0;0;0;;7.6;147.3;1018.6;57.1;8.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/23/1994;17.7;7.1;12.6;17.7;5.7;12.3;10;85.1;0;0;0;;11.2;212.4;1019.4;33.3;6.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/24/1994;20.6;8.1;14.2;20.6;8;14.2;10.2;79.6;0;0;0;;18.4;9.3;1017.9;32;7.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/25/1994;24.6;10.4;16.6;24.6;10.4;16.6;8.9;65.7;0;0;0;;11.2;185.9;1013.7;18.8;6.8;Clear;Clear conditions throughout the day.
MOROCCO;2/26/1994;19.1;10.1;14.3;19.1;10.1;14.3;10.5;78.6;0;0;0;;29.5;229.4;1013.3;76;7.4;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/27/1994;18.1;11.6;14.6;18.1;11.6;14.6;11.4;82.5;0;0;0;;29.5;221.8;1017.3;51.7;9.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;2/28/1994;15.7;11.4;13.4;15.7;11.4;13.4;10.7;84.4;5;100;8.33;rain;35.3;228.4;1014.6;80;7.6;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.
MOROCCO;03/01/1994;15.7;12.4;13.6;15.7;12.4;13.6;10.9;83.6;3;100;4.17;rain;22.3;299.5;1018.4;66;8.7;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;03/02/1994;17.2;10.1;13.3;17.2;10.1;13.3;10.6;84.9;0;0;0;;11.2;225;1025.1;43.6;7.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;03/03/1994;20.1;10.4;14.7;20.1;10.4;14.7;9.6;74;0;0;0;;22.3;36.1;1026.2;13.3;8.7;Clear;Clear conditions throughout the day.
MOROCCO;03/04/1994;23.1;8.6;15;23.1;7.4;14.7;8.2;69;0;0;0;;18.4;88;1021.2;7.5;8.2;Clear;Clear conditions throughout the day.
MOROCCO;03/05/1994;18.1;8.4;13.5;18.1;8.4;13.4;11;85.3;0;0;0;;22.3;235.1;1016.2;54.2;6.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;03/06/1994;22.6;13.4;17.6;22.6;13.4;17.6;10.5;66.6;280;100;4.17;rain;38.9;84.5;1011.4;83.3;6.2;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;03/07/1994;22;14.6;18.3;22;14.6;18.3;9.7;59.4;0;0;0;;38.9;94.8;1014.2;88.3;6.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;03/08/1994;17.1;9.4;14.1;17.1;9.4;14.1;12.5;90.5;0;0;0;;7.6;262.4;1016.9;83.6;2.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;03/09/1994;17.4;10.7;13.3;17.4;10.7;13.3;12;92.6;0;0;0;;7.6;229.6;1018.9;55;2.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;03/10/1994;21.1;11.1;15.4;21.1;11.1;15.4;12.8;85.7;0;0;0;;14.8;273.8;1020.1;54.5;4.4;Partially cloudy;Becoming cloudy in the afternoon.
MOROCCO;03/11/1994;16.2;12.1;14.5;16.2;12.1;14.5;12.9;90.5;0;0;0;;11.2;255.4;1020.9;81;2.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;03/12/1994;15.1;11.1;13.1;15.1;11.1;13.1;11.9;92.7;11;100;4.17;rain;14.8;126.3;1020.2;70;6.2;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.
MOROCCO;3/13/1994;21.1;10.7;14.8;21.1;10.7;14.8;12.2;86;5;100;4.17;rain;18.4;26.5;1020.6;33;5.1;Rain, Partially cloudy;Partly cloudy throughout the day with morning rain.
MOROCCO;3/14/1994;22.6;9.6;16.1;22.6;9.6;16.1;8.7;64.7;0;0;0;;25.9;73.6;1019;0;8.6;Clear;Clear conditions throughout the day.
MOROCCO;3/15/1994;24.2;12.4;17.8;24.2;12.4;17.8;8.3;56.7;0;0;0;;29.5;68.3;1017.5;13.3;9.2;Clear;Clear conditions throughout the day.
MOROCCO;3/16/1994;22;8.1;15.3;22;8.1;15.3;8.1;65.1;0;0;0;;18.4;19.2;1019.4;0;10;Clear;Clear conditions throughout the day.
MOROCCO;3/17/1994;22.7;11.7;16.3;22.7;11.7;16.3;7;56.1;0;0;0;;18.4;60.6;1021.1;0;10;Clear;Clear conditions throughout the day.
MOROCCO;3/18/1994;21.7;8.1;15.1;21.7;6.8;15;10;73.7;0;0;0;;7.6;230.1;1021.4;23;8.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/19/1994;21.6;11.1;15.1;21.6;11.1;15.1;12.7;87.1;0;0;0;;11.2;272.1;1021.2;38.9;3.8;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/20/1994;17.6;9.4;14.1;17.6;9.4;14.1;11.8;86.4;0;0;0;;14.8;299.7;1021.5;68;4.7;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/21/1994;17.7;11.7;14.5;17.7;11.7;14.5;10.6;78.2;0;0;0;;14.8;242.6;1021.1;80;8;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/22/1994;18.3;10.4;14.8;18.3;10.4;14.8;11.7;82.5;0;0;0;;14.8;330;1019.6;36.7;8.2;Partially cloudy;Clearing in the afternoon.
MOROCCO;3/23/1994;28.1;10.1;18.4;27.3;10.1;18.3;10.9;68;0;0;0;;29.5;98;1016.5;69;6.7;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/24/1994;29.6;17.6;21.1;29.2;17.6;21;12;58;0;0;0;;33.5;131.1;1015.6;75;4.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/25/1994;21.1;14.2;17.5;21.1;14.2;17.5;13.8;79.7;4;100;4.17;rain;18.4;249.9;1017.3;75;6.2;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;3/26/1994;17.6;14.1;15.7;17.6;14.1;15.7;12.7;83.1;0.1;100;4.17;rain;22.3;234.5;1018.7;80;5.9;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;3/27/1994;17.9;13.7;15.1;17.9;13.7;15.1;11.2;78;0;0;0;;14.8;247.8;1018.8;71.3;8.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/28/1994;17.9;9.4;14;17.9;8.4;13.9;11.2;83.7;0;0;0;;14.8;237.2;1020.9;63.3;8.8;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/29/1994;19.1;12.1;15;19.1;12.1;15;12.2;84.1;0;0;0;;25.9;310.9;1018.8;60;7.2;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;3/30/1994;19.6;11.1;14.5;19.6;11.1;14.5;12.5;88.3;0;0;0;;18.4;4.9;1018.8;27.8;6.2;Partially cloudy;Clearing in the afternoon.
MOROCCO;3/31/1994;19.7;12.6;16.3;19.7;12.6;16.3;13.9;86;0;0;0;;18.4;323.9;1022.7;47.5;4.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/01/1994;20.1;10.1;15.7;20.1;10.1;15.7;12.7;83.8;0;0;0;;18.4;323.9;1027.4;59.1;6.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/02/1994;17.1;9.1;13.9;17.1;9.1;13.9;8.8;72.7;0;0;0;;22.3;343.1;1029.1;37.1;8.4;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/03/1994;17.7;7.7;12.7;17.7;6.9;12.5;7.3;72.2;0;0;0;;18.4;321.9;1029.9;55.7;9.1;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/04/1994;18.1;6.9;12;18.1;6.9;11.8;8.8;82;0;0;0;;18.4;18.7;1028.2;10;9.3;Clear;Clear conditions throughout the day.
MOROCCO;04/05/1994;19.1;8.6;14.1;19.1;8.6;14.1;11.4;84.8;0;0;0;;18.4;327.7;1027.1;42.2;9.4;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/06/1994;19.7;7.1;12.2;19.7;6.8;12;9.7;86.4;0;0;0;;22.3;326.6;1026.1;24.3;5.6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/07/1994;18.1;6.4;13.2;18.1;4.8;13;10.4;84.1;0;0;0;;18.4;339.4;1022.8;21.3;7.4;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/08/1994;19.7;8.6;14.2;19.7;8.6;14.1;11.1;82.7;0;0;0;;22.3;37.5;1019.5;48.3;7.8;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/09/1994;19.7;9.1;13.3;19.7;8;13.1;11.3;88.5;0;0;0;;14.8;241;1018.2;22.5;6.3;Partially cloudy;Partly cloudy throughout the day.
